"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",2.034632,
"AUS","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",1.958494,
"AUS","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",2.003353,
"AUT","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.2826985,
"AUT","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.3120166,
"AUT","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",0.3212374,
"BEL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.3438748,
"BEL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.33022,
"BEL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",0.3264372,
"CAN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",1.39349,
"CAN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",1.424678,
"CAN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",1.368106,
"CZE","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.4298336,
"CZE","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.4290586,
"DNK","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.3485718,
"DNK","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.373458,
"DNK","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",0.3933566,
"FIN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.084937,
"FIN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.0852433,
"FIN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",0.0884266,
"FRA","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.6541888,
"FRA","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.6613,
"FRA","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",0.6707895,
"DEU","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.5669054,
"DEU","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.5547003,
"DEU","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",0.5772012,
"GRC","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.2814975,
"GRC","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.3435143,
"GRC","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",0.3257424,
"HUN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.5701637,
"HUN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.5526702,
"HUN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",0.736271,
"ISL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.2590797,
"ISL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.2491304,
"ISL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",0.2366848,
"IRL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.5274664,
"IRL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.4888825,
"IRL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",0.444829,
"ITA","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.4760639,
